dialogue_id,condition,host_a_file,host_a_gender,host_a_accent,host_b_file,host_b_gender,host_b_accent
584,us_us,v0043.wav,female,american,v0018.wav,male,american
627,uk_uk,v0092.wav,male,british,v0031.wav,male,british
6361,uk_uk,v0092.wav,male,british,v0031.wav,male,british
413,mixed,v0014.wav,female,american,v0017.wav,female,british
425,uk_uk,v0000.wav,female,british,v0031.wav,male,british
460,mixed,v0050.wav,female,british,v0051.wav,male,american
422,us_us,v0026.wav,male,american,v0051.wav,male,american
526,us_us,v0062.wav,male,american,v0090.wav,female,american
3753,uk_uk,v0031.wav,male,british,v0000.wav,female,british
495,mixed,v0018.wav,male,american,v0050.wav,female,british
392,mixed,v0092.wav,male,british,v0012.wav,male,american
3766,us_us,v0038.wav,female,american,v0018.wav,male,american
640,uk_uk,v0092.wav,male,british,v0000.wav,female,british
668,mixed,v0000.wav,female,british,v0089.wav,female,american
455,us_us,v0015.wav,female,american,v0089.wav,female,american
421,uk_uk,v0092.wav,male,british,v0031.wav,male,british
491,uk_uk,v0000.wav,female,british,v0050.wav,female,british
404,mixed,v0027.wav,female,american,v0000.wav,female,british
592,uk_uk,v0031.wav,male,british,v0017.wav,female,british
6359,uk_uk,v0031.wav,male,british,v0050.wav,female,british
443,us_us,v0089.wav,female,american,v0051.wav,male,american
582,uk_uk,v0031.wav,male,british,v0000.wav,female,british
468,us_us,v0059.wav,female,american,v0014.wav,female,american
414,us_us,v0051.wav,male,american,v0014.wav,female,american
65,us_us,v0080.wav,male,american,v0043.wav,female,american
616,us_us,v0038.wav,female,american,v0015.wav,female,american
580,uk_uk,v0000.wav,female,british,v0031.wav,male,british
673,us_us,v0090.wav,female,american,v0014.wav,female,american
644,uk_uk,v0000.wav,female,british,v0050.wav,female,british
573,mixed,v0017.wav,female,british,v0038.wav,female,american
570,mixed,v0031.wav,male,british,v0012.wav,male,american
488,uk_uk,v0031.wav,male,british,v0017.wav,female,british
568,us_us,v0089.wav,female,american,v0018.wav,male,american
52,uk_uk,v0050.wav,female,british,v0092.wav,male,british
485,us_us,v0014.wav,female,american,v0085.wav,female,american
6354,mixed,v0026.wav,male,american,v0031.wav,male,british
3751,us_us,v0018.wav,male,american,v0027.wav,female,american
476,mixed,v0031.wav,male,british,v0047.wav,female,american
42,uk_uk,v0050.wav,female,british,v0017.wav,female,british
396,us_us,v0051.wav,male,american,v0090.wav,female,american
407,us_us,v0051.wav,male,american,v0047.wav,female,american
481,us_us,v0012.wav,male,american,v0014.wav,female,american
388,uk_uk,v0050.wav,female,british,v0017.wav,female,british
451,uk_uk,v0000.wav,female,british,v0050.wav,female,british
508,us_us,v0089.wav,female,american,v0044.wav,male,american
493,us_us,v0062.wav,male,american,v0080.wav,male,american
3743,uk_uk,v0050.wav,female,british,v0031.wav,male,british
483,uk_uk,v0031.wav,male,british,v0092.wav,male,british
63,us_us,v0059.wav,female,american,v0027.wav,female,american
441,mixed,v0050.wav,female,british,v0051.wav,male,american
622,us_us,v0043.wav,female,american,v0018.wav,male,american
3757,us_us,v0043.wav,female,american,v0080.wav,male,american
555,mixed,v0000.wav,female,british,v0015.wav,female,american
454,mixed,v0090.wav,female,american,v0031.wav,male,british
589,uk_uk,v0092.wav,male,british,v0050.wav,female,british
391,uk_uk,v0092.wav,male,british,v0050.wav,female,british
528,uk_uk,v0031.wav,male,british,v0050.wav,female,british
3765,mixed,v0031.wav,male,british,v0047.wav,female,american
49,mixed,v0092.wav,male,british,v0047.wav,female,american
420,us_us,v0038.wav,female,american,v0012.wav,male,american
576,uk_uk,v0000.wav,female,british,v0092.wav,male,british
546,mixed,v0092.wav,male,british,v0085.wav,female,american
6353,us_us,v0027.wav,female,american,v0080.wav,male,american
397,us_us,v0089.wav,female,american,v0062.wav,male,american
64,uk_uk,v0092.wav,male,british,v0017.wav,female,british
523,uk_uk,v0092.wav,male,british,v0000.wav,female,british
519,mixed,v0031.wav,male,british,v0047.wav,female,american
587,us_us,v0018.wav,male,american,v0038.wav,female,american
626,us_us,v0026.wav,male,american,v0062.wav,male,american
518,mixed,v0047.wav,female,american,v0000.wav,female,british
385,us_us,v0014.wav,female,american,v0090.wav,female,american
395,us_us,v0044.wav,male,american,v0026.wav,male,american
651,uk_uk,v0031.wav,male,british,v0092.wav,male,british
462,us_us,v0015.wav,female,american,v0074.wav,male,american
3772,mixed,v0017.wav,female,british,v0059.wav,female,american
379,us_us,v0085.wav,female,american,v0026.wav,male,american
446,uk_uk,v0000.wav,female,british,v0017.wav,female,british
538,us_us,v0015.wav,female,american,v0012.wav,male,american
552,uk_uk,v0017.wav,female,british,v0092.wav,male,british
40,uk_uk,v0050.wav,female,british,v0000.wav,female,british
6355,us_us,v0038.wav,female,american,v0051.wav,male,american
411,mixed,v0090.wav,female,american,v0092.wav,male,british
645,mixed,v0031.wav,male,british,v0062.wav,male,american
452,us_us,v0080.wav,male,american,v0062.wav,male,american
448,mixed,v0074.wav,male,american,v0000.wav,female,british
6356,us_us,v0062.wav,male,american,v0043.wav,female,american
512,us_us,v0047.wav,female,american,v0026.wav,male,american
624,mixed,v0090.wav,female,american,v0092.wav,male,british
494,uk_uk,v0017.wav,female,british,v0031.wav,male,british
595,uk_uk,v0050.wav,female,british,v0031.wav,male,british
37,us_us,v0018.wav,male,american,v0062.wav,male,american
3761,uk_uk,v0050.wav,female,british,v0092.wav,male,british
490,mixed,v0000.wav,female,british,v0014.wav,female,american
630,us_us,v0089.wav,female,american,v0059.wav,female,american
510,uk_uk,v0031.wav,male,british,v0050.wav,female,british
427,uk_uk,v0092.wav,male,british,v0050.wav,female,british
463,us_us,v0012.wav,male,american,v0047.wav,female,american
3763,mixed,v0047.wav,female,american,v0000.wav,female,british
46,uk_uk,v0031.wav,male,british,v0092.wav,male,british
547,uk_uk,v0017.wav,female,british,v0031.wav,male,british
6352,mixed,v0018.wav,male,american,v0000.wav,female,british
623,us_us,v0027.wav,female,american,v0051.wav,male,american
598,uk_uk,v0017.wav,female,british,v0092.wav,male,british
375,mixed,v0050.wav,female,british,v0012.wav,male,american
585,us_us,v0080.wav,male,american,v0044.wav,male,american
619,uk_uk,v0050.wav,female,british,v0017.wav,female,british
6358,us_us,v0080.wav,male,american,v0012.wav,male,american
59,mixed,v0080.wav,male,american,v0017.wav,female,british
663,uk_uk,v0000.wav,female,british,v0092.wav,male,british
433,us_us,v0080.wav,male,american,v0051.wav,male,american
497,uk_uk,v0000.wav,female,british,v0050.wav,female,british
428,us_us,v0012.wav,male,american,v0044.wav,male,american
603,us_us,v0090.wav,female,american,v0014.wav,female,american
610,uk_uk,v0092.wav,male,british,v0000.wav,female,british
3773,uk_uk,v0031.wav,male,british,v0017.wav,female,british
3746,mixed,v0090.wav,female,american,v0000.wav,female,british
426,mixed,v0043.wav,female,american,v0092.wav,male,british
524,us_us,v0044.wav,male,american,v0038.wav,female,american
545,uk_uk,v0017.wav,female,british,v0031.wav,male,british
601,mixed,v0051.wav,male,american,v0031.wav,male,british
3756,mixed,v0031.wav,male,british,v0059.wav,female,american
3760,mixed,v0015.wav,female,american,v0000.wav,female,british
406,mixed,v0015.wav,female,american,v0092.wav,male,british
384,uk_uk,v0017.wav,female,british,v0092.wav,male,british
522,uk_uk,v0000.wav,female,british,v0092.wav,male,british
607,mixed,v0026.wav,male,american,v0017.wav,female,british
629,us_us,v0043.wav,female,american,v0047.wav,female,american
594,uk_uk,v0050.wav,female,british,v0017.wav,female,british
599,us_us,v0074.wav,male,american,v0043.wav,female,american
665,mixed,v0050.wav,female,british,v0047.wav,female,american
378,us_us,v0080.wav,male,american,v0012.wav,male,american
593,uk_uk,v0017.wav,female,british,v0092.wav,male,british
431,uk_uk,v0000.wav,female,british,v0092.wav,male,british
453,us_us,v0047.wav,female,american,v0044.wav,male,american
62,uk_uk,v0050.wav,female,british,v0017.wav,female,british
643,uk_uk,v0031.wav,male,british,v0000.wav,female,british
458,mixed,v0012.wav,male,american,v0050.wav,female,british
466,mixed,v0050.wav,female,british,v0051.wav,male,american
615,mixed,v0031.wav,male,british,v0014.wav,female,american
3754,mixed,v0027.wav,female,american,v0031.wav,male,british
41,us_us,v0044.wav,male,american,v0012.wav,male,american
532,mixed,v0038.wav,female,american,v0050.wav,female,british
659,uk_uk,v0050.wav,female,british,v0092.wav,male,british
600,mixed,v0074.wav,male,american,v0050.wav,female,british
543,uk_uk,v0017.wav,female,british,v0092.wav,male,british
567,uk_uk,v0031.wav,male,british,v0000.wav,female,british
465,mixed,v0062.wav,male,american,v0092.wav,male,british
435,mixed,v0074.wav,male,american,v0017.wav,female,british
499,mixed,v0080.wav,male,american,v0017.wav,female,british
